City,1995_pop,1996_pop,1997_pop,1998_pop,1999_pop,2000_pop,2001_pop,latitude,longitude
New York, 7.350 , 7.361 , 7.383 , 7.404 , 7.428 , 8.015 , 8.063 ,40.7128,-74.0059
Los Angeles, 3.530 , 3.542 , 3.565 , 3.598 , 3.634 , 3.704 , 3.738 ,34.054394,-118.243941
Chicago, 2.800 , 2.814 , 2.808 , 2.803 , 2.799 , 2.896 , 2.895 ,41.875555,-87.624421
Houston, 1.780 , 1.792 , 1.807 , 1.829 , 1.846 , 1.978 , 1.994 ,29.758938,-95.367697
Philadelphia, 1.500 , 1.472 , 1.452 , 1.435 , 1.418 , 1.514 , 1.513 ,39.952399,-75.16359
Phoenix, 1.140 , 1.160 , 1.183 , 1.199 , 1.212 , 1.327 , 1.348 ,33.446768,-112.075672
San Antonio, 1.090 , 1.100 , 1.119 , 1.133 , 1.147 , 1.164 , 1.177 ,29.4246,-98.49514
San Diego, 1.170 , 1.178 , 1.197 , 1.213 , 1.239 , 1.227 , 1.236 ,32.717421,-117.162771
Dallas, 1.040 , 1.047 , 1.059 , 1.072 , 1.076 , 1.191 , 1.200 ,32.776272,-96.796856
San Jose, 0.820 , 0.836 , 0.852 , 0.863 , 0.868 , 0.904 , 0.909 ,37.336191,-121.890583
Austin, 0.560 , 0.563 , 0.567 , 0.577 , 0.588 , 0.672 , 0.686 ,30.271129,-97.743699
San Francisco, 0.750 , 0.754 , 0.763 , 0.770 , 0.775 , 0.777 , 0.785 ,37.779277,-122.41927
Columbus, 0.660 , 0.663 , 0.669 , 0.670 , 0.671 , 0.716 , 0.724 ,39.96226,-83.000706
Fort Worth, 0.470 , 0.477 , 0.485 , 0.493 , 0.502 , 0.546 , 0.557 ,32.753177,-97.332746
Charlotte, 0.473 , 0.485 , 0.497 , 0.508 , 0.521 , 0.570 , 0.582 ,35.227087,-80.843127
