City,1995_pop,1996_pop,1997_pop,1998_pop,1999_pop,2000_pop,2001_pop,latitude,longitude
New York,7350000,7361000,7383000,7404000,7428000,8015000,8063000,55.0253,-1.48695
Los Angeles,3534000,3542000,3565000,3598000,3634000,3704000,3738000,34.054394,-118.243941
Chicago,2802000,2814000,2808000,2803000,2799000,2896000,2895000,41.875555,-87.624421
Houston,1779000,1792000,1807000,1829000,1846000,1978000,1994000,29.758938,-95.367697
Philadelphia,1496000,1471600,1451700,1435000,1417600,1513800,1512500,39.952399,-75.16359
Phoenix,1134500,1159500,1183000,1199200,1211500,1327000,1348100,33.446768,-112.075672
San Antonio,1086700,1100300,1118800,1133300,1147200,1163800,1177200,29.4246,-98.49514
San Diego,1164800,1178300,1196700,1212500,1239000,1226800,1235600,32.717421,-117.162771
Dallas,1040000,1047000,1059000,1072000,1076000,1191000,1200000,32.776272,-96.796856
San Jose,821467,836136,851528,862637,867675,903540,909260,37.336191,-121.890583
Austin,555092,562795,567173,576608,587873,672241,685684,30.271129,-97.743699
San Francisco,746386,753934,762953,770262,774716,777360,784631,37.779277,-122.41927
Columbus,660928,663307,668808,670031,671247,715971,723822,39.96226,-83.000706
Fort Worth,470880,476744,485028,492675,502369,545993,557034,32.753177,-97.332746
Charlotte,473355,485445,497042,508296,520829,569858,581562,35.227087,-80.843127
